Date,Rating,Review,User,Translated_Review,Manually_Labelled_Sentiment
29/12/2025,1,shopee kedekut coin & voucher skrg.. dh x mcm dlu..,surika zuha97,shopee kedekut coin & voucher skrg.. dh x mcm dlu..,Negative
29/12/2025,5,cheap product,Reshvinking13,cheap product,Positive
29/12/2025,1,sampah. kau nak verify apa bnyak kali. lepas by ws nak verify by password pulak. not deserve a star pun. useless,Fatimah Nani,"garbage How many times do you want to verify? after ws, I want to verify by password. doesn't even deserve a star. useless",Negative
29/12/2025,5,The apps that u can trust for any occasion in everyday life.,Azlan Abidin,The apps that u can trust for any occasion in everyday life.,Positive
29/12/2025,3,"too late deliveries, no vouchers can be used",Tanchammah Madhavan,"too late deliveries, no vouchers can be used",Negative
29/12/2025,5,Good experience,vincent Foo,Good experience,Positive
29/12/2025,5,best guna apps ni,Ahmad Arfan Farhat,best guna apps ni,Positive
29/12/2025,5,enjoy this aap,iwan gillera,enjoy this aap,Positive
29/12/2025,5,smooth and up hose power...long use 6 time servis.save Enjin safe money,Azmi Yem,smooth and up hose power...long use 6 time servis.save Enjin safe money,Positive
29/12/2025,1,"Useless app, difficult to top up balance, difficult to update identity verification, difficult to detect face 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",laughing chin,"Useless app, difficult to top up balance, difficult to update identity verification, difficult to detect face 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",Negative
29/12/2025,4,very good so far. Although some sellers needs further vetting.,Azhar A Wahab,very good so far. Although some sellers needs further vetting.,Positive
29/12/2025,5,"Great Apps,...MANTAP SEYHHHH...I suka shopping di SHOPEE 😘😘😘..harap shopee selalu bagi harga kaw² murah giler...terasa hari hari nak bershopping di shoppe x de barang free ke shopee nk bagi kat saya..penjimatan memang banyak Dan jimat masa x perlu keluar rumah...MANTAP..yabedabidiuuuu..saya bagi 10bintang",Lie Fantastix,"Great Apps,...GOOD SEYHHHH...I like shopping at SHOPEE 😘😘😘..hope Shopee always gives you cheap prices...I feel like every day I want to shop at Shopee when there are free items to Shopee to give to me..the savings are really big and save time when I don't have to leave the house...GOOD..yeabedabiduuuuu..I give 10 stars",Positive
29/12/2025,1,"Hi I am Platinum (worthless). If your business relies on the items from shopee be careful, shopee lacks communication to update or policies to help you. A preplanned critical item suddenly went missing enroute, refunded yes but your time not compensated. Critical item ordered again but didn't move for a week. Ordered 2x more critical item but they were tardy in delivery. By the time recieved (I just needed 1), your business is up in smoke. And sophee and your speed up button is a total joke.",Randolph Lojiu,"Hi I am Platinum (worthless). If your business relies on the items from shopee be careful, shopee lacks communication to update or policies to help you. A preplanned critical item suddenly went missing enroute, refunded yes but your time not compensated. Critical item ordered again but didn't move for a week. Ordered 2x more critical item but they were tardy in delivery. By the time recieved (I just needed 1), your business is up in smoke. And sophee and your speed up button is a total joke.",Negative
29/12/2025,3,not able to view full screen on z fold.,Muhammad Alageswaran Muniandy,not able to view full screen on z fold.,Negative
29/12/2025,5,excellent,Aida Othman,excellent,Positive
29/12/2025,5,Shopee kena update. Pembeli boleh bertanya kepada pembeli. Sama ada barang yg di beli sudah guna ka belum. Bila ada pertanyaan. Baru ada review yg terbaik terhadap kauliti barang tersebut,Danish Said,Shopee needs to be updated. Buyers may ask buyers. Have you used the items you bought? If you have any questions. There is just the best review of the quality of this item,Negative
29/12/2025,5,Memang terbaik,Firdaus Sedek,It's the best,Positive
29/12/2025,1,buddy you keep popping up everywhere and capcut too you literally can't let me skip you and you make me to shoppee website Frick you,CaylusBlox,buddy you keep popping up everywhere and capcut too you literally can't let me skip you and you make me to shoppee website Frick you,Negative
29/12/2025,5,App ini merupakan app yang sesuai untuk membeli belah✅️✅️✅️✅️✅️ dan sesuai digunakan untuk mencari item yang diperlukan.Semua item dijual disini.App ini sangat mudah untuk digunakan.Terdapat perbandingan harga yang dapat dibuat dan terdapat item yang lebih murah berbanding distore offline😀.Dapat save money awak dengan dengan menggunakan app ini.,THM2423Ab NORHIDAYAH BINTI MOHD NAWI,This app is an app that is suitable for shopping and is suitable for finding items that are needed. All items are sold here. This app is very easy to use. There are price comparisons that can be made and there are items that are cheaper compared to offline stores😀. You can save money by using this app.,Positive
29/12/2025,5,"Good platform for Everything in daily uses, I’ve been using the Shopee Malaysia app for many years, and it has always been my top choice for online shopping. From great deals to reliable sellers and fast delivery, Shopee clearly stands out. It’s more convenient, trustworthy, and user-friendly than any other shopping app.",Aman Harry,"Good platform for Everything in daily uses, I’ve been using the Shopee Malaysia app for many years, and it has always been my top choice for online shopping. From great deals to reliable sellers and fast delivery, Shopee clearly stands out. It’s more convenient, trustworthy, and user-friendly than any other shopping app.",Positive
29/12/2025,5,kualiti bagus penghantaran cepat,Mawar58,good quality fast delivery,Positive
29/12/2025,5,best of the best app shopping online.... im loving it.... 🥰🥰,zamri rahman,best of the best app shopping online.... im loving it.... 🥰🥰,Positive
29/12/2025,5,good,Aziq adli,good,Positive
29/12/2025,5,good!,Aqeela Nelly,good!,Positive
29/12/2025,5,extra discount,Wallance Lee,extra discount,Positive
29/12/2025,1,this app lag a lot and didn't accept/ support TNG payment and i never put my phone number in shopee but when i try to it says that my number already had an account which i never created,starry,this app lag a lot and didn't accept/ support TNG payment and i never put my phone number in shopee but when i try to it says that my number already had an account which i never created,Negative
29/12/2025,5,good app,Oluwa Remy,good app,Positive
29/12/2025,1,poor apps !! lie about vouchers and always late delivery,Khairil Mesri,poor apps !! lie about vouchers and always late delivery,Negative
29/12/2025,5,flexible shipping & payment..,Roslan Mahmud,flexible shipping & payment..,Positive
29/12/2025,5,Good and useful,Kuhanrao ravi21,Good and useful,Positive
29/12/2025,5,nice,Ruly Mst,nice,Positive
29/12/2025,1,tak nak bagi 1 bintang pun sebenarnya.. customer service barai,Maisyirah Muhaizan,I really don't want to give 1 star.. customer service is poor,Negative
29/12/2025,1,stupid apps.. stupid courier staff.. they are lazy to redeliver my item to the collection point then just give me stupid reason.. better buy from tiktokshop..,pale busut,stupid apps.. stupid courier staff.. they are lazy to redeliver my item to the collection point then just give me stupid reason.. better buy from tiktokshop..,Negative
29/12/2025,1,"app getting weird and weird features now. *sigh, please fix all this overload during sale. Vouchers keep disappearing quickly. don't separate shopee pay with shopee app. it's annoying when try to do transfer to friend. cannot use at all. keep again transfer feature in shopee app. keep lagging!",Raja Bella,"app getting weird and weird features now. *sigh, please fix all this overload during sale. Vouchers keep disappearing quickly. don't separate shopee pay with shopee app. it's annoying when try to do transfer to friend. cannot use at all. keep again transfer feature in shopee app. keep lagging!",Negative
29/12/2025,5,nice and good,Mohd sabree Isa,nice and good,Positive
29/12/2025,1,soo bad,Sudhen sudhen,Come on,Negative
29/12/2025,4,"ok, so far good",Zuriyati Zainol,"ok, so far good",Neutral
29/12/2025,5,okok,afiq zahid,reasons,Negative
29/12/2025,5,Byk free shipping...ada apa2 masalah shopee cpt settle,Racda 98,Byk free shipping...any shopee problems quickly resolved,Positive
29/12/2025,5,Stop showing me video when l start shopee very annoying,fjinnw,Stop showing me video when l start shopee very annoying,Negative
29/12/2025,5,padu,Afzai Nizam,solid,Positive
29/12/2025,5,mantap,RUNDY PUAN,solid,Positive
29/12/2025,5,make my day easier and very helpful. love it..,zalia razali,make my day easier and very helpful. love it..,Positive
29/12/2025,5,good service this apps,Mohammad Taj,good service this apps,Positive
29/12/2025,5,Terbaik..banyak kemudahan dengan shope..😊👍,Mazwan Mansor,The best.. many conveniences with shope..😊👍,Positive
29/12/2025,1,"Getting worst due to some update, cn't collects little coins & seems like my apps installed has been altered. 👎👎👎",Ryan,"Getting worst due to some update, cn't collects little coins & seems like my apps installed has been altered. 👎👎👎",Negative
28/12/2025,1,always goes into live video everytime I enter the app. should have stop automatic enter live video.,J Huang,always goes into live video everytime I enter the app. should have stop automatic enter live video.,Negative
28/12/2025,2,tawaran x mnarik seperti sblm nie,Muhammad Aiman,The offer is not as attractive as before,Negative
28/12/2025,5,terbaikkk,HR IFE,the best,Positive
28/12/2025,5,app yang sangat membantu,zue ida,Very helpful app,Positive
28/12/2025,1,"boleh ork kalau mung jangan buat aku serabut, macam macam tempat mung keluar. nak tengok cerita tak best, mung duk ngacau, menekan nekan paksa orang bukak app shopee. nk iklan,iklan jelah, toksoh duk pakse pakse orang, kat fb ado, game ado, loklok ado, daily motion mu ado. stress.. kalu orang nk beli orang cari la mu.. tak minat jenis nekan ni",Hafiz Ayampedas,"it's okay if you just don't make me nervous, there's a lot of places where you can only go out. I want to see the best story, I just mess around, press and force people to open the shopee app. I want ads, pop-up ads, I don't want to force people to force me, on fb ado, games ado, loklok ado, daily motion mu ado. stress.. if people want to buy, people look for you.. not interested in this kind of pressure",Negative
28/12/2025,5,good... recommended,ismail ab ghani,good... recommended,Positive
28/12/2025,1,iklan banyakk,Aben Dennis,a lot of ads,Negative
28/12/2025,5,I LOVE YOU SHOPPE ❤️,Saran Billa,I LOVE YOU SHOPPE ❤️,Positive
28/12/2025,2,"It is not the shoppee app that's my concern The main concern is that despite having reported & raised complaints that it's seller is selling counterfeit fake supplements which has been verified & proven to be fake, shoppee chose to ignore such complaints, prioritising profit over the health safety of it's customers. WARNING: Kindly be aware that all the the Dr Berg magnesium glycinate sold cheaply btwn RM13++ to RM20++ at shoppee is FAKE. The original Dr Berg magnesium glycinate costs RM150++",Melissa Anne K,"It is not the shoppee app that's my concern The main concern is that despite having reported & raised complaints that it's seller is selling counterfeit fake supplements which has been verified & proven to be fake, shoppee chose to ignore such complaints, prioritising profit over the health safety of it's customers. WARNING: Kindly be aware that all the the Dr Berg magnesium glycinate sold cheaply btwn RM13++ to RM20++ at shoppee is FAKE. The original Dr Berg magnesium glycinate costs RM150++",Negative
28/12/2025,5,very good,Sumiya Parvin,very good,Positive
28/12/2025,5,Best of the best,Hanns Kamaruddin,Best of the best,Positive
28/12/2025,1,"Shopee’s delivery service is absolutely unacceptable. My parcel couldn’t be delivered today and has been rescheduled for tomorrow, leaving me waiting unnecessarily. A hub located right next to my area should not have such repeated failures, especially when Lazada, from much farther away, consistently delivers on time. This is a glaring lack of planning, execution, and accountability, and it highlights how inefficient Shopee’s operations truly are",POK POK,"Shopee’s delivery service is absolutely unacceptable. My parcel couldn’t be delivered today and has been rescheduled for tomorrow, leaving me waiting unnecessarily. A hub located right next to my area should not have such repeated failures, especially when Lazada, from much farther away, consistently delivers on time. This is a glaring lack of planning, execution, and accountability, and it highlights how inefficient Shopee’s operations truly are",Negative
28/12/2025,5,bagus lah... cuma banyak kan lagi coin dan penjimatan.,Nasmahan Abkm,it's good... just a lot more coins and savings.,Positive
28/12/2025,5,Thank for service⭐⭐⭐⭐⭐,WY C,Thank for service⭐⭐⭐⭐⭐,Positive
28/12/2025,5,best sangat pelayanan baik sangat 😁😁😁😁,Danu Zulhisyam,"very best, very good service 😁😁😁😁",Positive
28/12/2025,1,Returned and refund service poor and totally unsatisfactory with do much inconvenience,Steven Lim Wee Siang,Returned and refund service poor and totally unsatisfactory with do much inconvenience,Negative
28/12/2025,5,Awesome 😎,Siti Nurul Norfatikah,Awesome 😎,Positive
28/12/2025,5,good app with good offer and sale,Mohd.Syukri Kamil,good app with good offer and sale,Positive
28/12/2025,5,Servis apps terbaik. Memudahkan urusan jual beli. Mudah mendapat barangan.,Mohd Aliff Sukor,The best apps service. Simplify the business of buying and selling. Easy to get stuff.,Positive
28/12/2025,1,"Why is this SHOPEE app suddenly kept showing me Shopee Live videos everytime I freshly opened the app!?? This is very annoying! I have no interest in watching Shopee Live! Please stop showing me Shopee Live when I didn't even clicked on it. It automatically appears as soon as I opened the Shopee app. STOP IT! A month after this, STILL FORCING ME to WATCH THESE DUMB SHOPEE VIDEOS by Showing the videos upon opening the APPS! STOP IT! IT'S SUPER ANNOYING!",Bryan Woods,"Why is this SHOPEE app suddenly kept showing me Shopee Live videos everytime I freshly opened the app!?? This is very annoying! I have no interest in watching Shopee Live! Please stop showing me Shopee Live when I didn't even clicked on it. It automatically appears as soon as I opened the Shopee app. STOP IT! A month after this, STILL FORCING ME to WATCH THESE DUMB SHOPEE VIDEOS by Showing the videos upon opening the APPS! STOP IT! IT'S SUPER ANNOYING!",Negative
28/12/2025,5,Mudah. Senang. Terbaik,Pen Bulat,Easy. Like. Best,Positive
28/12/2025,5,a very users friendly apps and lot of vouchers were offers too,Nasrulhaq Nazreen,a very users friendly apps and lot of vouchers were offers too,Positive
28/12/2025,2,"shoppe need take note and highlight to shoppe delivery company to customer, sometimes deliver person just drop or leave item at gate without inform or ring door bell to customer which they saw customer at home!!!",tay bs,"shoppe need take note and highlight to shoppe delivery company to customer, sometimes deliver person just drop or leave item at gate without inform or ring door bell to customer which they saw customer at home!!!",Negative
28/12/2025,5,nice,SYZWAN AZRY OFFICIAL,nice,Positive
28/12/2025,5,Barang DAH SAMPAI. Terima kasih good job i,Azmi Wancik,THE GOODS HAVE ARRIVED. Thank you good job i,Positive
28/12/2025,1,"Tak boleh withdraw koin daripada shopee live coin savings, withdrawal ""rejected"". Dah chat dengan agent banyak kali, tapi shopee cakap aku menipu kutip koin pasang simulator, emulator dan bot. So kalau nak kutip buang dulu padahal aku takda pasang apa-apa simulator, emulator, bot pun, so macam mana aku nak buang kalau, dari awal memang aku langsung tak pakai apa-apa simulator, emulator dan bot? Aku kutip koin manual kot, berjam-jam masa aku habis untuk kutip koin di shopee live tu. Haihh, sedih.",Nur Najmi,"You cannot withdraw coins from shopee live coin savings, withdrawals are ""rejected"". I've chatted with the agent many times, but Shopee said I was cheating on coin quotes using simulators, emulators and bots. So, if I want to throw it away even though I don't have any simulators, emulators or bots installed, how can I throw it away if, from the start, I didn't use any simulators, emulators or bots? I quoted coins manually, I ran out of time to quote coins on Shopee Live. Haha, sad.",Negative
28/12/2025,5,very good,Mcgaven Mapa,very good,Positive
28/12/2025,5,The customer service can really help to speed up the delivery. Wonderful.,Sam Chan,The customer service can really help to speed up the delivery. Wonderful.,Positive
28/12/2025,4,your ads in other apps suck. that said the app itself is quite convenient. I just wish they allowed payment via TNG.,Salammon Astartes,your ads in other apps suck. that said the app itself is quite convenient. I just wish they allowed payment via TNG.,Negative
28/12/2025,1,Korang ni buat kerja mcm mne? tutup jelah centre shopee tu tak mesra pengguna mahupun seller,Farah Zulaikha,"What kind of work do you do? close the door, the shopee center is neither user nor seller friendly",Negative
28/12/2025,5,good,Shamsul Badri,good,Positive
28/12/2025,5,penghantaran cepat..,Nuryuazzila Yusof,fast delivery..,Positive
28/12/2025,5,best,Txv Typhoon,best,Positive
28/12/2025,1,okay but i hate the shoppee expresss it to slow,nurunn Hamidon,okay but i hate the shoppee expresss it to slow,Negative
28/12/2025,1,Stop making videos the first page when we open the app! so bloody annoying! you can push sales through other stuff!,Bawang Cantik,Stop making videos the first page when we open the app! so bloody annoying! you can push sales through other stuff!,Negative
28/12/2025,1,"shopee food sxck. Agent chat not helping, seller mistake reject my refund.",Henry Thum,"shopee food sxck. Agent chat not helping, seller mistake reject my refund.",Negative
28/12/2025,1,even dah download iklan shopee still muncul... aku dah order barang tapi still iklan... kau nak aku x nk order barang kah haishhh...,Uc ks,even after downloading the shopee ad is still appearing... I have ordered the goods but the ad is still on... do you want me not to order the goods haishhhh...,Negative
28/12/2025,5,Very helpful and convenient please keep it up,Janz Lee,Very helpful and convenient please keep it up,Positive
28/12/2025,2,Mall ia not on par with some sellers.,Amedomuch- A,Mall ia not on par with some sellers.,Negative
28/12/2025,5,Love shopping,Ax Fam,Love shopping,Positive
28/12/2025,5,Good. The delivery guy for my area is very nice and helpful,Mee Ling Foo,Good. The delivery guy for my area is very nice and helpful,Positive
28/12/2025,5,good and very nice,Amrina Rasyada,good and very nice,Positive
28/12/2025,5,mudah kerja guna shopee,muhammad abdullah,easy to work using shopee,Positive
27/12/2025,4,bole la tapi brng enda pndi smpi wlu pun sudah byr,Ethan Ethanmark,"It's fine, but it doesn't work until it's over",Negative
27/12/2025,5,very best,Nuriz Zear,very best,Positive
27/12/2025,5,good,Bt Lee,good,Positive
27/12/2025,5,trusted,Ibrahim 0995,trusted,Positive
27/12/2025,5,"Shopee memang pilihan yang semua orang suka,apa sahaja yang dimahukan ada didalam shopee,,memang yang terbaik sekali untuk buat pembelian??",Muhd Faizal,"Shopee is indeed the choice that everyone likes, whatever you want is in shopee,, is it the best to make a purchase??",Positive
27/12/2025,5,Good👍..very user friendly..many things can buy...pay easy..and refund easy..lets do it...,Alvin Chiam,Good👍..very user friendly..many things can buy...pay easy..and refund easy..lets do it...,Positive
27/12/2025,5,platform terbaik untuk membeli belah,Mohd syamil Sharipuddin,the best platform for shopping,Positive
27/12/2025,5,Very good..,Sn Najihah,Very good..,Positive
27/12/2025,5,hebat n superb!!!!!!!!,kamal echa,great n superb!!!!!!!!,Positive
27/12/2025,1,too much ads at every apps,Amsyar,too much ads at every apps,Negative
27/12/2025,1,eh cb ur ad so annoying i didn't click anything but still direct me to shopee app.,charles,eh cb ur ad so annoying i didn't click anything but still direct me to shopee app.,Negative
27/12/2025,5,First time user. Service is very good.,Regina Hong,First time user. Service is very good.,Positive
27/12/2025,5,So useful and helpful,Fred J,So useful and helpful,Positive
27/12/2025,1,"8481 video nak jual barang ke orang? dahlah buat berat, buat tambah dosa org pula. Nak disable tak boleh pula",drive time,"8481 videos Want to sell things to people? it's already heavy, it's adding to people's sins. You can't disable it either",Negative
27/12/2025,5,good,Sohanur Sohanur,good,Positive
27/12/2025,5,so far is just going better 😀,Nadzri Adam,so far is just going better 😀,Positive
27/12/2025,5,Nice,zaidi abdul ghalib,Nice,Positive
27/12/2025,5,great,Nicky cun,great,Positive
27/12/2025,5,good,abang shahrizin hairil,good,Positive
27/12/2025,5,Makin teruk bila bukak shopee loading memanjng,Syam,It gets worse when you open Shopee and the loading takes longer,Negative
27/12/2025,5,"I'm platinum account user, enjoy shopee service and lot of discount voucher",Covan Loh,"I'm platinum account user, enjoy shopee service and lot of discount voucher",Positive
27/12/2025,5,"The parcel quality is very good and arrived in excellent condition. Packaging was neat, secure, and well protected, ensuring the item was not damaged during delivery. Overall, I am satisfied with the packaging quality and the way the parcel was handled.",Harizah Aliah,"The parcel quality is very good and arrived in excellent condition. Packaging was neat, secure, and well protected, ensuring the item was not damaged during delivery. Overall, I am satisfied with the packaging quality and the way the parcel was handled.",Positive
27/12/2025,2,"Give us an option to turn off the shopee video in the settings, most of them are annoying and unnecessary.",Mohd Hadif,"Give us an option to turn off the shopee video in the settings, most of them are annoying and unnecessary.",Negative
27/12/2025,5,awesome,Alex Jeffrey,awesome,Positive
27/12/2025,1,starts to lag again,Hilmal Ameen,starts to lag again,Negative
27/12/2025,5,good best and excellernt,black crew,good best and excellernt,Positive
27/12/2025,1,very bad experience with this app..they say they took 5-10 days to get the ship delivery..but it takes more days like 14-15 it already take more days..if I didn't say I want refun they not going to take any action.If I let it be..the delivery will not delivered to me. And the service very bad...First service they say they will assemble the furniture but they just put the furniture and the rest we have to do ourselves...we waited so long for this? Two.. the delivered don't have manners,Raiden Miko,very bad experience with this app..they say they took 5-10 days to get the ship delivery..but it takes more days like 14-15 it already take more days..if I didn't say I want refun they not going to take any action.If I let it be..the delivery will not delivered to me. And the service very bad...First service they say they will assemble the furniture but they just put the furniture and the rest we have to do ourselves...we waited so long for this? Two.. the delivered don't have manners,Negative
27/12/2025,5,Easy Shopping,Natasya Desu,Easy Shopping,Positive
27/12/2025,5,shopee doing great.tq,psam K,shopee doing great.tq,Positive
27/12/2025,1,"Refund ke akaun bank ambil masa yang terlalu lama. Mula 1-3 hari, lepas tu 3-5 hari, dah chat agent tambah lagi 7 hari 😌 Bukan ikut hari biasa tapi ikut hari waktu bekerja. Tolong la sape nak membeli harap seller tu takde la tiba kata barang tak boleh pos. Kena cancel ambil masa lama pulak nak dapat duit.",Ameera AJ,"Refund to bank account takes too long. First 1-3 days, then 3-5 days, the chat agent has added another 7 days 😌 Not on normal days but on working days. Please, whoever wants to buy, I hope the seller is not there, he said the item cannot be posted. Having to cancel, it takes a long time to get money.",Negative
27/12/2025,5,apps yang bagus untuk membeli barang harga berpatutan dan delivery pantas,Faiz Zakry,good apps to buy goods at reasonable prices and fast delivery,Positive
27/12/2025,4,Sometimes scams and sometimes expensive stuff,Leo_boba 39,Sometimes scams and sometimes expensive stuff,Negative
27/12/2025,5,good,Ko Ko Lin Maung,good,Positive
27/12/2025,5,Good app 👌,Punitah S Murugan,Good app 👌,Positive
27/12/2025,5,shoppe app very nice to me and all people in our area..... discount 😭😭😭 big price,Ummu Tauam79,shoppe app very nice to me and all people in our area..... discount 😭😭😭 big price,Positive
27/12/2025,5,very good,john telau,very good,Positive
27/12/2025,5,nice,yazid lieyah,nice,Positive
27/12/2025,5,beberapa item blh dapatkan dgn harga RM0.00. pandai pandailah scrol.. shoppe amat hargai pelanggannya. salute,Ameera Najah,some items can be obtained at the price of RM0.00. good at scrolling.. shoppe really appreciates its customers. salute,Positive
27/12/2025,5,good,Angin AnginLalu,good,Positive
27/12/2025,5,awesome,Hafiz Ahmad,awesome,Positive
27/12/2025,5,Mantap...,Hazimin Mohamad,Great...,Positive
27/12/2025,5,Good,Nur Jihan,Good,Positive
27/12/2025,1,"I hate this app due to the startup page is 'Live&Video' page, a normal app should startup in 'Home' page.",Mee Leng,"I hate this app due to the startup page is 'Live&Video' page, a normal app should startup in 'Home' page.",Negative
27/12/2025,5,IS GREAT! but since i have touch'n go. sadly i can't pay it with payment method that there's no app payment for Touch'n Go. i don't have any bank online for pay. i only have Touch'n Go. and can pay it with cash on delivery. Maybe you should Put Touch'N Go for payment method pleaseeee🙏,mya syafa aqilah mohd zukarnain,IS GREAT! but since i have touch'n go. sadly i can't pay it with payment method that there's no app payment for Touch'n Go. i don't have any bank online for pay. i only have Touch'n Go. and can pay it with cash on delivery. Maybe you should Put Touch'N Go for payment method pleaseeee🙏,Positive
27/12/2025,1,stupid app just open the app and auto go to live/video,Syameer Affendy,stupid app just open the app and auto go to live/video,Negative
27/12/2025,5,With shopee app now i can buy good for affordable price and with delivery free...,Dia Selj,With shopee app now i can buy good for affordable price and with delivery free...,Positive
27/12/2025,5,𝑖𝑛𝑗𝑜𝑦 𝑠ℎ𝑜𝑝𝑝𝑖𝑛𝑔,Marsan Tams,injoy shopping,Positive
27/12/2025,5,"Comfortable shopping in the comfort of home. Good that Shopee has self collection, it's safer and practical for me as I lived in apartment and may not be home at times.",Lim,"Comfortable shopping in the comfort of home. Good that Shopee has self collection, it's safer and practical for me as I lived in apartment and may not be home at times.",Positive
27/12/2025,1,Worst app no refund and return policy 2 months complained return nobody come..... Worst app,Param Bains,Worst app no refund and return policy 2 months complained return nobody come..... Worst app,Negative
27/12/2025,3,mintak tolong buang live short video waktu buka app shopee. menggagu ketika buat pembayaran keluar sekejap nak approved payment tiba2 masuk balik keluar live short.kena log in bank balik. sekarang kurang nya jangan terus keluar short live video waktu buka app shopee,syed aidid,"please remove the live short video when opening the shopee app. It messed up when I made the payment and went out for a moment to approve the payment, then it went back in and came out live short. I had to log in to the bank again. now it's less, don't keep going out short live video when opening the shopee app",Negative
27/12/2025,5,terbaek,Mr Bob,the best,Positive
27/12/2025,5,"1 coin every time i get! so surprised! everyday 1 coin, near to millionaire!",KM,"1 coin every time i get! so surprised! everyday 1 coin, near to millionaire!",Positive
27/12/2025,5,Good,Ramlee JR,Good,Positive
27/12/2025,5,Sangat Bagus👌,MCLEAN DAMIAN,Very Good👌,Positive
27/12/2025,5,👍,Norsa Liza,👍,Neutral
26/12/2025,5,senang Dan mudah. baucer pun banyak pilihan.,eita abd,easy and simple. There are many voucher options.,Positive
26/12/2025,1,Kedekut coin..stingy to give coins,MrGugu 1956,Kedekut coin..stingy to give coins,Negative
26/12/2025,5,terbaik,nor suhada,the best,Positive
26/12/2025,5,"Shopee is such a convenient app for online shopping. I love how easy it is to search for products, compare prices, and read reviews before making a purchase. The app is very user friendly, and checkout is smooth with multiple payment options. I also like that I can track my orders in real time, and delivery is usually fast and reliable. Shopee’s frequent promotions and vouchers make shopping even more enjoyable and affordable.",najlah mohamad,"Shopee is such a convenient app for online shopping. I love how easy it is to search for products, compare prices, and read reviews before making a purchase. The app is very user friendly, and checkout is smooth with multiple payment options. I also like that I can track my orders in real time, and delivery is usually fast and reliable. Shopee’s frequent promotions and vouchers make shopping even more enjoyable and affordable.",Positive
26/12/2025,5,thebest,Muhammad fazlie Badaruddin,thebest,Positive
26/12/2025,5,Reliable,William Tan,Reliable,Positive
26/12/2025,5,its so convience & all driver very effiecient.,Hayati Abdul Hamid,its so convience & all driver very effiecient.,Positive
26/12/2025,5,Shopee very good platform for those buyers to find good and various reliable products.,S K liow,Shopee very good platform for those buyers to find good and various reliable products.,Positive
26/12/2025,5,good experience with this apps,iman daud,good experience with this apps,Positive
26/12/2025,5,good and very nice buy..,Mohd yaniey Yaniey,good and very nice buy..,Positive
26/12/2025,5,Good 💜,Md sabuj Khan,Good 💜,Positive
26/12/2025,1,"cancel your cooperation with best express, best express is the worst courier",Harizamany,"cancel your cooperation with best express, best express is the worst courier",Positive
26/12/2025,5,LOVEEE SHOPEE SO MUCH BECAUSE THIS SHOPPING APP GIVE A GREAT DEAL FOR MY SKINCARE PRODUCTS,Lizfthn,LOVEEE SHOPEE SO MUCH BECAUSE THIS SHOPPING APP GIVE A GREAT DEAL FOR MY SKINCARE PRODUCTS,Positive
26/12/2025,5,good services,acik yah,good services,Positive
26/12/2025,5,terbaik,Norhidayah Shaharuddin,the best,Positive
26/12/2025,5,okeyy,Kube Lana,okay,Neutral
26/12/2025,5,my fave,romaizul hafiz,my fave,Positive
26/12/2025,5,mudah,Ari,easy,Positive
26/12/2025,5,Good experience,Chan Eit Fong,Good experience,Positive
26/12/2025,5,veri nais and veri poisiyoning app,piranha grab,veri nais and veri positioning app,Positive
26/12/2025,5,good product fast delivery,Chew Chinmei,good product fast delivery,Positive
26/12/2025,5,free barang memang suka,Kavitha Kavi,I really like free stuff,Positive
26/12/2025,5,best shopping app,Suhaira Zohari,best shopping app,Positive
26/12/2025,5,very2 good,Mat Hussin Mamat,very2 good,Positive
26/12/2025,5,"User friendly UI, many vouchers and good deals, excellent channel to do e-shopping.",路人甲,"User friendly UI, many vouchers and good deals, excellent channel to do e-shopping.",Positive
26/12/2025,1,"Two time buying two time got disappointed, the first one can be excuse but the 2nd one very bad, didnt got the item that was in the marketing buy 1 take 1",Faizal Fiedry,"Two time buying two time got disappointed, the first one can be excuse but the 2nd one very bad, didnt got the item that was in the marketing buy 1 take 1",Negative
26/12/2025,5,Reliable service.,CS Lee,Reliable service.,Positive
26/12/2025,1,"no matter I'm using IOS or Android, I'm unable to download the app. I'm unable to contact customer service regarding my order.",Yukino Tenshi,"no matter I'm using IOS or Android, I'm unable to download the app. I'm unable to contact customer service regarding my order.",Negative
26/12/2025,2,"I've never felt so frustrated in my life! I used my phone number for all my shopee purchases, but I had found out a random stranger from a different state is still using MY phone number for COD deliveries, so ""I"" would be the one to receive many phone calls to come ""outside"" even though I always paid my purchases with a credit card. How to resolve this?? I can't contact the stranger because they're using my number!!! I would always receive messages for packages that aren't mine all the time!!!",Nazurah,"I've never felt so frustrated in my life! I used my phone number for all my shopee purchases, but I had found out a random stranger from a different state is still using MY phone number for COD deliveries, so ""I"" would be the one to receive many phone calls to come ""outside"" even though I always paid my purchases with a credit card. How to resolve this?? I can't contact the stranger because they're using my number!!! I would always receive messages for packages that aren't mine all the time!!!",Negative
26/12/2025,5,"so many vouchers, and cheap, nice, fast delivery 🚚👍🏻💞",Boski Boski,"so many vouchers, and cheap, nice, fast delivery 🚚👍🏻💞",Positive
26/12/2025,5,mantap,Mohd Hanif,solid,Positive
